Timestamp,Data_Row
2025-12-21 08:16:23,RVR RWY10      :1800 M
2025-12-21 08:16:23,RVR RWY27      :2000 M
2025-12-21 08:16:23,RVR RWY29R     :2000 M
2025-12-21 08:16:23,RVR RWY29RMID  :1800 M
2025-12-21 08:16:23,RVR RWY11L     :1900 M
2025-12-21 08:16:23,RVR RWY29L     :1700 M
2025-12-21 08:16:23,RVR RWY29LMID  :1700 M
2025-12-21 08:16:23,RVR RWY11R     :1900 M
2025-12-21 08:16:23,CURRENT WEATHER :BR
2025-12-21 08:16:23,TREND FOR NEXT 2 HOURS:
2025-12-21 08:16:23,NOSIG=
2025-12-21 09:13:06,DELHI AIRPORT
2025-12-21 09:13:06,TEMPRATURE:  17°C
2025-12-21 09:13:06,CURRENT VISIBILITY
2025-12-21 09:13:06,AT I.G.I. AIRPORT
2025-12-21 09:13:06,DATE TIME(DDHHMM) : 210900UTC
2025-12-21 09:13:06,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 09:13:06,GEN. VIS.      :1200 M
2025-12-21 09:13:06,RVR RWY28      :2000 M
2025-12-21 09:13:06,RVR RWY28MID   :1600 M
2025-12-21 09:13:06,RVR RWY10      :1900 M
2025-12-21 09:13:06,RVR RWY27      :2000 M
2025-12-21 09:13:06,RVR RWY29R     :2000 M
2025-12-21 09:13:06,RVR RWY29RMID  :1700 M
2025-12-21 09:13:06,RVR RWY11L     :1900 M
2025-12-21 09:13:06,RVR RWY29L     :1700 M
2025-12-21 09:13:06,RVR RWY29LMID  :1700 M
2025-12-21 09:13:06,RVR RWY11R     :1900 M
2025-12-21 09:13:06,CURRENT WEATHER :FU
2025-12-21 09:13:06,TREND FOR NEXT 2 HOURS:
2025-12-21 09:13:06,NOSIG=
2025-12-21 10:13:03,DELHI AIRPORT
2025-12-21 10:13:03,TEMPRATURE:  17°C
2025-12-21 10:13:03,CURRENT VISIBILITY
2025-12-21 10:13:03,AT I.G.I. AIRPORT
2025-12-21 10:13:03,DATE TIME(DDHHMM) : 211000UTC
2025-12-21 10:13:03,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 10:13:03,GEN. VIS.      :1200 M
2025-12-21 10:13:03,RVR RWY28      :2000 M
2025-12-21 10:13:03,RVR RWY28MID   :1700 M
2025-12-21 10:13:03,RVR RWY10      :2000 M
2025-12-21 10:13:03,RVR RWY27      :2000 M
2025-12-21 10:13:03,RVR RWY29R     :2000 M
2025-12-21 10:13:03,RVR RWY29RMID  :1800 M
2025-12-21 10:13:03,RVR RWY11L     :2000 M
2025-12-21 10:13:03,RVR RWY29L     :1900 M
2025-12-21 10:13:03,RVR RWY29LMID  :1800 M
2025-12-21 10:13:03,RVR RWY11R     :1900 M
2025-12-21 10:13:03,CURRENT WEATHER :FU
2025-12-21 10:13:03,TREND FOR NEXT 2 HOURS:
2025-12-21 10:13:03,NOSIG=
2025-12-21 11:10:25,DELHI AIRPORT
2025-12-21 11:10:25,TEMPRATURE:  17°C
2025-12-21 11:10:25,CURRENT VISIBILITY
2025-12-21 11:10:25,AT I.G.I. AIRPORT
2025-12-21 11:10:25,DATE TIME(DDHHMM) : 211100UTC
2025-12-21 11:10:25,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 11:10:25,GEN. VIS.      :1200 M
2025-12-21 11:10:25,RVR RWY28      :2000 M
2025-12-21 11:10:25,RVR RWY28MID   :1800 M
2025-12-21 11:10:25,RVR RWY10      :2000 M
2025-12-21 11:10:25,RVR RWY27      :2000 M
2025-12-21 11:10:25,RVR RWY29R     :2000 M
2025-12-21 11:10:25,RVR RWY29RMID  :2000 M
2025-12-21 11:10:25,RVR RWY11L     :2000 M
2025-12-21 11:10:25,RVR RWY29L     :2000 M
2025-12-21 11:10:25,RVR RWY29LMID  :2000 M
2025-12-21 11:10:25,RVR RWY11R     :2000 M
2025-12-21 11:10:25,CURRENT WEATHER :FU
2025-12-21 11:10:25,TREND FOR NEXT 2 HOURS:
2025-12-21 11:10:25,NOSIG=
2025-12-21 12:23:03,DELHI AIRPORT
2025-12-21 12:23:03,TEMPRATURE:  15°C
2025-12-21 12:23:03,CURRENT VISIBILITY
2025-12-21 12:23:03,AT I.G.I. AIRPORT
2025-12-21 12:23:03,DATE TIME(DDHHMM) : 211200UTC
2025-12-21 12:23:03,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 12:23:03,GEN. VIS.      :1200 M
2025-12-21 12:23:03,RVR RWY28      :2000 M
2025-12-21 12:23:03,RVR RWY28MID   :2000 M
2025-12-21 12:23:03,RVR RWY10      :2000 M
2025-12-21 12:23:03,RVR RWY27      :2000 M
2025-12-21 12:23:03,RVR RWY29R     :2000 M
2025-12-21 12:23:03,RVR RWY29RMID  :2000 M
2025-12-21 12:23:03,RVR RWY11L     :2000 M
2025-12-21 12:23:03,RVR RWY29L     :2000 M
2025-12-21 12:23:03,RVR RWY29LMID  :2000 M
2025-12-21 12:23:03,RVR RWY11R     :2000 M
2025-12-21 12:23:03,CURRENT WEATHER :BR
2025-12-21 12:23:03,TREND FOR NEXT 2 HOURS:
2025-12-21 12:23:03,NOSIG=
2025-12-21 13:22:18,DELHI AIRPORT
2025-12-21 13:22:18,TEMPRATURE:  13°C
2025-12-21 13:22:18,CURRENT VISIBILITY
2025-12-21 13:22:18,AT I.G.I. AIRPORT
2025-12-21 13:22:18,DATE TIME(DDHHMM) : 211300UTC
2025-12-21 13:22:18,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 13:22:18,GEN. VIS.      :1200 M
2025-12-21 13:22:18,RVR RWY28      :2000 M
2025-12-21 13:22:18,RVR RWY28MID   :2000 M
2025-12-21 13:22:18,RVR RWY10      :2000 M
2025-12-21 13:22:18,RVR RWY27      :2000 M
2025-12-21 13:22:18,RVR RWY29R     :2000 M
2025-12-21 13:22:18,RVR RWY29RMID  :2000 M
2025-12-21 13:22:18,RVR RWY11L     :2000 M
2025-12-21 13:22:18,RVR RWY29L     :2000 M
2025-12-21 13:22:18,RVR RWY29LMID  :2000 M
2025-12-21 13:22:18,RVR RWY11R     :2000 M
2025-12-21 13:22:18,CURRENT WEATHER :BR
2025-12-21 13:22:18,TREND FOR NEXT 2 HOURS:
2025-12-21 13:22:18,NOSIG=
2025-12-21 14:11:56,DELHI AIRPORT
2025-12-21 14:11:56,TEMPRATURE:  13°C
2025-12-21 14:11:56,CURRENT VISIBILITY
2025-12-21 14:11:56,AT I.G.I. AIRPORT
2025-12-21 14:11:56,DATE TIME(DDHHMM) : 211400UTC
2025-12-21 14:11:56,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 14:11:56,GEN. VIS.      :0900 M
2025-12-21 14:11:56,RVR RWY28      :2000 M
2025-12-21 14:11:56,RVR RWY28MID   :2000 M
2025-12-21 14:11:56,RVR RWY10      :2000 M
2025-12-21 14:11:56,RVR RWY27      :2000 M
2025-12-21 14:11:56,RVR RWY29R     :2000 M
2025-12-21 14:11:56,RVR RWY29RMID  :2000 M
2025-12-21 14:11:56,RVR RWY11L     :2000 M
2025-12-21 14:11:56,RVR RWY29L     :2000 M
